GrandPrix,RiderNumber,RiderName,GridPosition,SprintFinish,MainRaceFinish
Germany,43,Jack Miller,8,5,8
Germany,49,Fabio Di Giannantonio,7,4,23
Germany,54,Fermín Aldeguer,12,10,5
Germany,63,Francesco Bagnaia,10,12,3
Germany,72,Marco Bezzecchi,3,2,23
Germany,73,Álex Márquez,5,8,2
Germany,79,Ai Ogura,17,17,23
Germany,88,Miguel Oliveira,11,11,23
Germany,93,Marc Márquez,1,1,1

Czech Republic,1,Jorge Martín,12,11,7
Czech Republic,5,Johann Zarco,9,8,13
Czech Republic,10,Luca Marini,16,15,12
Czech Republic,12,Maverick Viñales,,,
Czech Republic,20,Fabio Quartararo,3,5,6
Czech Republic,21,Franco Morbidelli,,,
Czech Republic,23,Enea Bastianini,11,3,23
Czech Republic,25,Raúl Fernández,6,6,5
Czech Republic,33,Brad Binder,19,10,8
Czech Republic,35,Somkiat Chantra,,,
Czech Republic,36,Joan Mir,5,19,23
Czech Republic,37,Pedro Acosta,7,2,3
Czech Republic,42,Álex Rins,15,18,15
Czech Republic,43,Jack Miller,10,12,10
Czech Republic,49,Fabio Di Giannantonio,13,23,16
Czech Republic,54,Fermín Aldeguer,18,14,11
Czech Republic,63,Francesco Bagnaia,1,7,4
Czech Republic,72,Marco Bezzecchi,4,4,2
Czech Republic,73,Álex Márquez,8,17,23
Czech Republic,79,Ai Ogura,20,16,14
Czech Republic,88,Miguel Oliveira,17,13,17
Czech Republic,93,Marc Márquez,2,1,1
Austria,1,Jorge Martín,14,10,23
Austria,5,Johann Zarco,12,9,12
Austria,10,Luca Marini,13,12,13
Austria,12,Maverick Viñales,,,
Austria,20,Fabio Quartararo,16,11,15
Austria,21,Franco Morbidelli,8,14,11
Austria,23,Enea Bastianini,5,7,5
Austria,25,Raúl Fernández,9,23,9
Austria,33,Brad Binder,11,5,7
Austria,35,Somkiat Chantra,,,
Austria,36,Joan Mir,10,13,6
Austria,37,Pedro Acosta,7,3,4
Austria,42,Álex Rins,17,16,16
Austria,43,Jack Miller,20,17,18
Austria,49,Fabio Di Giannantonio,15,8,23
Austria,54,Fermín Aldeguer,6,6,2
Austria,63,Francesco Bagnaia,3,23,8
Austria,72,Marco Bezzecchi,1,4,3
Austria,73,Álex Márquez,2,2,10
Austria,79,Ai Ogura,19,15,14
Austria,88,Miguel Oliveira,18,18,17
Austria,93,Marc Márquez,4,1,1

Hungary,1,Jorge Martín,16,9,4
Hungary,5,Johann Zarco,18,23,23
Hungary,10,Luca Marini,9,4,5
Hungary,12,Maverick Viñales,,,
Hungary,20,Fabio Quartararo,6,23,10
Hungary,21,Franco Morbidelli,5,3,6
Hungary,23,Enea Bastianini,4,23,23
Hungary,25,Raúl Fernández,15,11,23
Hungary,33,Brad Binder,12,18,7
Hungary,35,Somkiat Chantra,,,
Hungary,36,Joan Mir,10,6,23
Hungary,37,Pedro Acosta,7,17,2
Hungary,42,Álex Rins,20,16,13
Hungary,43,Jack Miller,17,12,23
Hungary,49,Fabio Di Giannantonio,3,2,15
Hungary,54,Fermín Aldeguer,8,5,16
Hungary,63,Francesco Bagnaia,13,13,9
Hungary,72,Marco Bezzecchi,2,7,3
Hungary,73,Álex Márquez,14,8,14
Hungary,79,Ai Ogura,21,15,11
Hungary,88,Miguel Oliveira,19,14,12
Hungary,93,Marc Márquez,1,1,1

Catalunya,1,Jorge Martín,17,23,10
Catalunya,5,Johann Zarco,7,7,23
Catalunya,10,Luca Marini,10,8,8
Catalunya,12,Maverick Viñales,22,17,13
Catalunya,20,Fabio Quartararo,2,2,5
Catalunya,21,Franco Morbidelli,4,23,23
Catalunya,23,Enea Bastianini,9,5,3
Catalunya,25,Raúl Fernández,15,11,11
Catalunya,33,Brad Binder,11,6,23
Catalunya,35,Somkiat Chantra,24,18,16
Catalunya,36,Joan Mir,20,13,12
Catalunya,37,Pedro Acosta,5,4,4
Catalunya,42,Álex Rins,19,15,23
Catalunya,43,Jack Miller,14,12,14
Catalunya,49,Fabio Di Giannantonio,6,3,23
